Symbol,Type,EntryPrice,TargetPrice,FinalPrice,Outcome,TimeoutUtc
LINKUSDT,Buy,1136000000,1141679999,9999998,1203000000,Win,2025-04-09T10:52:53.7045993Z
LTCUSDT,Buy,7114000000,7149569999,999999,7314000000,Win,2025-04-09T10:52:54.6631112Z
ATOMUSDT,Buy,426200000,428330999,99999994,428000000,Loss,2025-04-09T10:52:55.9279017Z
BNBUSDT,Buy,55822000000,56101109999,99999,57489000000,Win,2025-04-09T11:07:59.4469439Z
BNBUSDT,Buy,55748000000,56026739999,99999,57489000000,Win,2025-04-09T11:23:10.9050924Z
ATOMUSDT,Buy,424700000,426823499,99999994,428000000,Win,2025-04-09T11:23:17.6635358Z
BNBUSDT,Buy,55693000000,55971464999,99999,57489000000,Win,2025-04-09T11:38:21.4765173Z
ATOMUSDT,Buy,425000000,427124999,99999994,428000000,Win,2025-04-09T11:38:27.2349949Z
BNBUSDT,Buy,55897000000,56176484999,99999,57489000000,Win,2025-04-09T11:53:31.2141932Z
ATOMUSDT,Buy,427500000,429637499,99999994,428000000,Loss,2025-04-09T11:53:38.7387638Z
BTCUSDT,Buy,7633049000000,7671214244999,999,7972542000000,Win,2025-04-09T12:23:50.5288175Z
ETHUSDT,Buy,145463000000,146190314999,99997,152036000000,Win,2025-04-09T12:23:50.8539724Z
BTCUSDT,Buy,7608696000000,7646739479999,999,7972542000000,Win,2025-04-09T12:38:58.2592941Z
ETHUSDT,Buy,145086000000,145811429999,99997,152036000000,Win,2025-04-09T12:38:58.5136894Z
TRXUSDT,Buy,22760000,22873799,999999996,23630000,Win,2025-04-09T12:39:03.1455102Z
LINKUSDT,Buy,1117000000,1122585000,1203000000,Win,2025-04-09T12:39:04.1064496Z
BTCUSDT,Buy,8243739000000,8284957694999,999,7972542000000,Loss,2025-04-09T20:51:18.1072801Z
BTCUSDT,Buy,82225,52,82636,6476,7972542000000,Win,2025-04-09T20:55:58.3750362Z
