Symbol,Type,EntryPrice,TargetPrice,TimeoutUtc,Status
LINKUSDT,Buy,1136000000,1141679999.9999998,2025-04-09T10:52:53.7045993Z,Pending
LTCUSDT,Buy,7114000000,7149569999.999999,2025-04-09T10:52:54.6631112Z,Pending
ATOMUSDT,Buy,426200000,428330999.99999994,2025-04-09T10:52:55.9279017Z,Pending
AMZN,Buy,171.089996,171.94544598,2025-04-09T10:52:57.9058773Z,Pending
MSFT,Buy,355.57001,357.34786005,2025-04-09T10:52:58.0080130Z,Pending
AMD,Buy,78.19,78.58094999999999,2025-04-09T10:52:58.1637624Z,Pending
GOOGL,Buy,144.7,145.42349999999996,2025-04-09T10:52:58.2555773Z,Pending
BNBUSDT,Buy,55822000000,56101109999.99999,2025-04-09T11:07:59.4469439Z,Pending
AMZN,Buy,171.089996,171.94544598,2025-04-09T11:08:09.3345306Z,Pending
MSFT,Buy,355.57001,357.34786005,2025-04-09T11:08:09.4348778Z,Pending
AMD,Buy,78.19,78.58094999999999,2025-04-09T11:08:09.5486111Z,Pending
GOOGL,Buy,144.7,145.42349999999996,2025-04-09T11:08:09.6386094Z,Pending
BNBUSDT,Buy,55748000000,56026739999.99999,2025-04-09T11:23:10.9050924Z,Pending
ATOMUSDT,Buy,424700000,426823499.99999994,2025-04-09T11:23:17.6635358Z,Pending
AMZN,Buy,171.089996,171.94544598,2025-04-09T11:23:19.8900690Z,Pending
MSFT,Buy,355.57001,357.34786005,2025-04-09T11:23:19.9972104Z,Pending
AMD,Buy,78.19,78.58094999999999,2025-04-09T11:23:20.1372981Z,Pending
GOOGL,Buy,144.7,145.42349999999996,2025-04-09T11:23:20.2172022Z,Pending
BNBUSDT,Buy,55693000000,55971464999.99999,2025-04-09T11:38:21.4765173Z,Pending
ATOMUSDT,Buy,425000000,427124999.99999994,2025-04-09T11:38:27.2349949Z,Pending
AMZN,Buy,171.089996,171.94544598,2025-04-09T11:38:29.8179476Z,Pending
MSFT,Buy,355.57001,357.34786005,2025-04-09T11:38:29.9080605Z,Pending
AMD,Buy,78.19,78.58094999999999,2025-04-09T11:38:30.0259832Z,Pending
GOOGL,Buy,144.7,145.42349999999996,2025-04-09T11:38:30.0921295Z,Pending
BNBUSDT,Buy,55897000000,56176484999.99999,2025-04-09T11:53:31.2141932Z,Pending
ATOMUSDT,Buy,427500000,429637499.99999994,2025-04-09T11:53:38.7387638Z,Pending
AMZN,Buy,171.089996,171.94544598,2025-04-09T11:53:39.9503373Z,Pending
MSFT,Buy,355.57001,357.34786005,2025-04-09T11:53:40.0060032Z,Pending
AMD,Buy,78.19,78.58094999999999,2025-04-09T11:53:40.1854847Z,Pending
GOOGL,Buy,144.7,145.42349999999996,2025-04-09T11:53:40.2481998Z,Pending
AMZN,Buy,171.089996,171.94544598,2025-04-09T12:08:49.4691515Z,Pending
MSFT,Buy,355.57001,357.34786005,2025-04-09T12:08:49.5219436Z,Pending
AMD,Buy,78.19,78.58094999999999,2025-04-09T12:08:49.6483539Z,Pending
GOOGL,Buy,144.7,145.42349999999996,2025-04-09T12:08:49.7303189Z,Pending
BTCUSDT,Buy,7633049000000,7671214244999.999,2025-04-09T12:23:50.5288175Z,Pending
ETHUSDT,Buy,145463000000,146190314999.99997,2025-04-09T12:23:50.8539724Z,Pending
BTCUSDT,Buy,7608696000000,7646739479999.999,2025-04-09T12:38:58.2592941Z,Pending
ETHUSDT,Buy,145086000000,145811429999.99997,2025-04-09T12:38:58.5136894Z,Pending
TRXUSDT,Buy,22760000,22873799.999999996,2025-04-09T12:39:03.1455102Z,Pending
LINKUSDT,Buy,1117000000,1122585000,2025-04-09T12:39:04.1064496Z,Pending
AMZN,Buy,171.089996,171.94544598,2025-04-09T12:39:07.4827850Z,Pending
MSFT,Buy,355.57001,357.34786005,2025-04-09T12:39:07.5560469Z,Pending
AMD,Buy,78.19,78.58094999999999,2025-04-09T12:39:07.7207584Z,Pending
GOOGL,Buy,144.7,145.42349999999996,2025-04-09T12:39:07.7703346Z,Pending
